OF,Pc,T,k,M
1,100,2742.0,1.1985,24.148
1,200,2831.0,1.1939,24.485
1,300,2885.0,1.1912,24.704
1,400,2923.0,1.1893,24.87
1,500,2952.0,1.1878,25.004
1,600,2976.0,1.1866,25.117
1,700,2997.0,1.1856,25.214
1,800,3001.0,1.2507,25.259
1,900,3001.0,1.2476,25.271
1,1000,3001.0,1.245,25.283
1,1100,3001.0,1.2428,25.296
1,1200,3001.0,1.2409,25.308
1,1300,3001.0,1.2393,25.32
1,1400,3001.0,1.2378,25.331
1,1500,3001.0,1.2366,25.342
2,100,3163.0,1.2274,27.261
2,200,3214.0,1.2259,27.404
2,300,3242.0,1.2251,27.484
2,400,3261.0,1.2244,27.539
2,500,3275.0,1.224,27.581
2,600,3287.0,1.2236,27.615
2,700,3296.0,1.2232,27.644
2,800,3305.0,1.2229,27.669
2,900,3312.0,1.2226,27.691
2,1000,3319.0,1.2223,27.711
2,1100,3325.0,1.2221,27.73
2,1200,3330.0,1.2218,27.747
2,1300,3335.0,1.2216,27.763
2,1400,3340.0,1.2213,27.778
2,1500,3345.0,1.2211,27.792
3,100,3735.0,1.2013,28.346
3,200,3850.0,1.1979,28.607
3,300,3917.0,1.1959,28.761
3,400,3966.0,1.1944,28.871
3,500,4000.0,1.263,28.96
3,600,4000.0,1.1901,29.068
3,700,4000.0,1.2579,29.157
3,800,4000.0,1.256,29.234
3,900,4001.0,1.185,29.3
3,1000,4001.0,1.1839,29.358
3,1100,4000.0,1.183,29.411
3,1200,4000.0,1.1822,29.458
3,1300,4000.0,1.1816,29.5
3,1400,4000.0,1.181,29.54
3,1500,4000.0,1.1805,29.576
4,100,3714.0,1.203,29.071
4,200,3826.0,1.1998,29.359
4,300,3892.0,1.1979,29.529
4,400,3938.0,1.1966,29.652
4,500,3975.0,1.1956,29.747
4,600,4001.0,1.1945,29.832
4,700,4000.0,1.257,29.935
4,800,4000.0,1.1913,30.021
4,900,4000.0,1.2532,30.098
4,1000,3999.0,1.2516,30.169
4,1100,4001.0,1.1883,30.228
4,1200,4000.0,1.1875,30.285
4,1300,4000.0,1.1869,30.336
4,1400,4000.0,1.1863,30.384
4,1500,4000.0,1.1858,30.428
5,100,3620.0,1.2076,29.516
5,200,3720.0,1.2047,29.791
5,300,3779.0,1.203,29.954
5,400,3821.0,1.2018,30.07
5,500,3853.0,1.2009,30.16
5,600,3880.0,1.2002,30.234
5,700,3902.0,1.1996,30.297
5,800,3921.0,1.199,30.351
5,900,3938.0,1.1985,30.398
5,1000,3953.0,1.1981,30.441
5,1100,3967.0,1.1977,30.479
5,1200,3979.0,1.1974,30.514
5,1300,3990.0,1.1971,30.546
5,1400,4000.0,1.2499,30.577
5,1500,4000.0,1.2491,30.618
6,100,3523.0,1.2123,29.805
6,200,3614.0,1.2097,30.058
6,300,3667.0,1.2081,30.207
6,400,3704.0,1.207,30.313
6,500,3733.0,1.2062,30.395
6,600,3756.0,1.2055,30.462
6,700,3776.0,1.2049,30.518
6,800,3793.0,1.2044,30.567
6,900,3808.0,1.204,30.609
6,1000,3821.0,1.2036,30.648
6,1100,3833.0,1.2033,30.682
6,1200,3844.0,1.203,30.714
6,1300,3854.0,1.2027,30.742
6,1400,3864.0,1.2024,30.769
6,1500,3872.0,1.2022,30.794
7,100,3436.0,1.2166,29.997
7,200,3519.0,1.2141,30.228
7,300,3566.0,1.2127,30.363
7,400,3600.0,1.2117,30.458
7,500,3625.0,1.2109,30.532
7,600,3646.0,1.2103,30.591
7,700,3664.0,1.2098,30.642
7,800,3679.0,1.2093,30.685
7,900,3692.0,1.2089,30.723
7,1000,3704.0,1.2086,30.757
7,1100,3714.0,1.2083,30.787
7,1200,3724.0,1.208,30.815
7,1300,3733.0,1.2077,30.841
7,1400,3741.0,1.2075,30.864
7,1500,3749.0,1.2073,30.886
8,100,3359.0,1.2204,30.127
8,200,3434.0,1.2181,30.337
8,300,3477.0,1.2168,30.458
8,400,3507.0,1.2159,30.543
8,500,3530.0,1.2152,30.609
8,600,3548.0,1.2146,30.662
8,700,3564.0,1.2141,30.706
8,800,3577.0,1.2137,30.745
8,900,3589.0,1.2134,30.778
8,1000,3599.0,1.213,30.808
8,1100,3609.0,1.2128,30.835
8,1200,3617.0,1.2125,30.859
8,1300,3625.0,1.2123,30.882
8,1400,3632.0,1.212,30.902
8,1500,3639.0,1.2118,30.921
9,100,3289.0,1.2239,30.214
9,200,3357.0,1.2217,30.404
9,300,3396.0,1.2205,30.513
9,400,3423.0,1.2197,30.589
9,500,3444.0,1.219,30.647
