time,dm_ox_dt,dr_dt,thrust,n_lo,n_go,OF,r,V_chmb,p_chmb,p_tank
0.0,0.337320409715168,-0.021035540630220815,1598.2744588280639,0.04983313833773545,0.00011897580035724324,0.6515591331720408,0.43385915382694107,112.90414704021111,1677.2494714049722,2866.5379916756324
0.005,0.20685522736774858,-0.014442864475932902,1293.8468790159727,0.04980963900488291,0.0001221650024564982,0.5857784038309536,0.4310160759548537,112.99684054254864,1098.4755541133006,2755.2243189834817
0.01,0.2515628755900138,-0.017068912423860074,1410.62825451231,0.04978106075804788,0.0001260424176194371,0.6075188113640079,0.42765606054421684,113.10560217498765,1305.7427933368904,2692.778437464423
0.015,0.22857479642384937,-0.01600845514118807,1355.0303733990504,0.049755094021353745,0.0001295643427891359,0.5929389469273657,0.424504796149674,113.20683316904956,1204.5705693990394,2621.9888469167745
0.02,0.2321317467547426,-0.01640036935788529,1366.0939663892555,0.04972872320514549,0.0001331400113117835,0.5922805318643987,0.42127638344157425,113.30976605344706,1224.1691205303293,2562.108640939786
0.025,0.2254931370948887,-0.016220993155761247,1350.9412677553835,0.04970310655357722,0.0001366123849936417,0.5861472716602896,0.41808328093886266,113.41080016646053,1196.9743464513228,2505.1784029927867
0.03,0.2233070453489653,-0.016292195734001386,1347.1962262213701,0.049677738248150534,0.0001400501093325318,0.582395465640049,0.4148761622086245,113.51150399271603,1190.184317415408,2453.2737901896544
0.035,0.21957707738766113,-0.01627339584537414,1339.3503297826608,0.04965279367752508,0.00014342946237251954,0.5777904481309909,0.4116727442364626,113.61131748272344,1176.1987627490794,2404.8732483810118
0.04,0.21676145770945593,-0.016307238648021718,1333.8477791421524,0.04962816896917647,0.00014676456911258298,0.5736710460532963,0.40846266430859957,113.71056244849083,1166.4008827359487,2359.9433027348373
0.045,0.21379412284140667,-0.016331684603691526,1327.8857285555691,0.04960388135837496,0.0001500531392263423,0.5694528919665706,0.40524777219436287,113.80917753664592,1155.848723014152,2317.9652398974727
0.05,0.2111104344602346,-0.016373174923105693,1322.6344725730744,0.04957989862208565,0.00015329957826734153,0.5653764419821986,0.4020247127107496,113.90726094493303,1146.5831050452996,2278.691486035709
0.055,0.20849925471063774,-0.01641940309194115,1317.5358321570097,0.049556212523125046,0.000156505039817748,0.5613241959148212,0.39879255321210094,114.0048347608553,1137.6235856119254,2241.828515040743
