time (s),thrust (lbf),thrust (N),impulse (lbf-s),Chamber pressure (psi),Tank pressure (psi),Liquid Oxidizer mass (lbm),Fuel mass (lbm),Oxidizer mass flow rate (lbm/s),Fuel mass flow rate (lbm/s),Oixidizer to Fuel Ratio (unitless),Port Radius (in),Total mass flow rate (lbm/s),cstar (in/s),Chamber temperature (K),Chamber molecular weight (g/mol),gamma (unitless)
0.000,25.885,115.135,0.000,14.891,3000.000,4.473,4.613,3.406,2.384,1.429,0.000,5.790,4.470,3909.000,0.030,1.185
0.020,1219.197,5422.986,23.066,701.394,2915.965,4.413,4.575,2.933,1.854,1.582,0.003,4.787,254.672,3909.000,0.030,1.185
0.040,1193.756,5309.825,47.232,686.758,2839.363,4.355,4.539,2.891,1.810,1.597,0.006,4.701,253.939,3909.000,0.030,1.185
0.060,1174.258,5223.099,70.955,675.541,2768.548,4.297,4.503,2.850,1.767,1.613,0.008,4.617,254.325,3909.000,0.030,1.185
0.080,1156.590,5144.512,94.270,665.376,2702.840,4.241,4.468,2.811,1.727,1.628,0.011,4.538,254.850,3909.000,0.030,1.185
0.100,1136.614,5055.659,117.208,653.884,2641.664,4.185,4.434,2.776,1.691,1.642,0.014,4.467,254.438,3909.000,0.030,1.185
0.120,1117.138,4969.028,139.788,642.680,2584.531,4.129,4.400,2.743,1.657,1.655,0.016,4.401,253.849,3909.000,0.030,1.185
0.140,1100.627,4895.588,162.025,633.181,2531.016,4.075,4.367,2.712,1.618,1.675,0.019,4.330,254.180,3909.000,0.030,1.185
0.160,1081.242,4809.365,183.866,622.029,2480.732,4.021,4.335,2.683,1.563,1.717,0.021,4.246,254.672,3909.000,0.030,1.185
0.180,1060.938,4719.052,205.300,610.349,2433.359,3.967,4.305,2.656,1.512,1.757,0.024,4.168,254.536,3909.000,0.030,1.185
0.200,1040.558,4628.401,226.350,598.624,2388.630,3.914,4.275,2.632,1.465,1.797,0.026,4.096,254.024,3909.000,0.030,1.185
0.220,1025.616,4561.939,247.031,590.028,2346.311,3.862,4.246,2.606,1.419,1.837,0.028,4.025,254.805,3909.000,0.030,1.185
0.240,1005.013,4470.299,267.379,578.176,2306.199,3.810,4.218,2.585,1.378,1.875,0.030,3.963,253.588,3909.000,0.030,1.185
0.260,993.160,4417.575,287.393,571.357,2268.106,3.759,4.191,2.561,1.338,1.914,0.032,3.898,254.767,3909.000,0.030,1.185
0.280,975.481,4338.940,307.109,561.186,2231.877,3.708,4.164,2.540,1.302,1.952,0.034,3.842,253.896,3909.000,0.030,1.185
0.300,964.887,4291.819,326.526,555.092,2197.360,3.657,4.139,2.518,1.265,1.990,0.036,3.784,255.020,3909.000,0.030,1.185
0.320,948.255,4217.836,345.678,545.523,2164.431,3.607,4.114,2.500,1.234,2.025,0.038,3.734,253.944,3909.000,0.030,1.185
0.340,937.875,4171.670,364.562,539.552,2132.970,3.557,4.089,2.479,1.203,2.061,0.040,3.683,254.683,3909.000,0.030,1.185
0.360,924.006,4109.980,383.203,531.573,2102.875,3.507,4.066,2.462,1.175,2.095,0.042,3.636,254.093,3909.000,0.030,1.185
0.380,913.953,4065.263,401.604,525.789,2074.047,3.458,4.042,2.443,1.147,2.130,0.044,3.590,254.592,3909.000,0.030,1.185
0.400,903.838,4020.270,419.778,519.970,2046.402,3.410,4.020,2.425,1.120,2.165,0.046,3.546,254.914,3909.000,0.030,1.185
0.420,890.749,3962.052,437.741,512.441,2019.863,3.361,3.997,2.410,1.096,2.198,0.047,3.506,254.061,3909.000,0.030,1.185
0.440,879.985,3914.175,455.493,506.248,1994.356,3.313,3.976,2.394,1.073,2.231,0.049,3.467,253.849,3909.000,0.030,1.185
0.460,872.948,3882.872,473.041,502.199,1969.816,3.265,3.954,2.377,1.049,2.265,0.051,3.426,254.802,3909.000,0.030,1.185
0.480,862.483,3836.323,490.402,496.179,1946.184,3.218,3.934,2.362,1.028,2.297,0.052,3.390,254.424,3909.000,0.030,1.185
0.501,852.644,3792.560,507.578,490.519,1923.405,3.171,3.913,2.347,1.008,2.330,0.054,3.355,254.136,3909.000,0.030,1.185
0.521,844.128,3754.682,524.575,485.620,1901.429,3.124,3.893,2.333,0.988,2.362,0.056,3.321,254.195,3909.000,0.030,1.185
0.541,836.539,3720.927,541.401,481.254,1880.209,3.077,3.874,2.319,0.969,2.393,0.057,3.287,254.475,3909.000,0.030,1.185
0.561,828.933,3687.094,558.063,476.878,1859.702,3.031,3.855,2.305,0.951,2.425,0.059,3.255,254.648,3909.000,0.030,1.185
0.581,821.136,3652.414,574.566,472.393,1839.871,2.985,3.836,2.291,0.933,2.455,0.060,3.225,254.650,3909.000,0.030,1.185
0.601,813.167,3616.968,590.916,467.808,1820.676,2.939,3.817,2.279,0.917,2.486,0.062,3.195,254.490,3909.000,0.030,1.185
0.621,806.541,3587.495,607.117,463.996,1802.085,2.894,3.799,2.266,0.900,2.516,0.063,3.166,254.746,3909.000,0.030,1.185
0.641,798.418,3551.364,623.175,459.323,1784.067,2.849,3.781,2.254,0.885,2.546,0.064,3.139,254.343,3909.000,0.030,1.185
0.661,790.959,3518.185,639.094,455.032,1766.592,2.804,3.763,2.242,0.871,2.576,0.066,3.113,254.105,3909.000,0.030,1.185
0.681,783.970,3487.097,654.878,451.011,1749.632,2.759,3.746,2.231,0.856,2.605,0.067,3.087,253.967,3909.000,0.030,1.185
0.701,777.331,3457.570,670.530,447.192,1733.163,2.714,3.729,2.219,0.842,2.634,0.069,3.062,253.887,3909.000,0.030,1.185
0.721,771.015,3429.476,686.054,443.559,1717.159,2.670,3.712,2.208,0.829,2.664,0.070,3.037,253.860,3909.000,0.030,1.185
0.741,764.987,3402.664,701.455,440.091,1701.601,2.626,3.696,2.197,0.816,2.693,0.071,3.013,253.877,3909.000,0.030,1.185
0.761,759.531,3378.396,716.735,436.952,1686.465,2.582,3.680,2.186,0.803,2.721,0.072,2.990,254.057,3909.000,0.030,1.185
0.781,753.848,3353.116,731.899,433.682,1671.734,2.538,3.664,2.176,0.791,2.750,0.074,2.967,254.085,3909.000,0.030,1.185
0.801,748.542,3329.515,746.949,430.630,1657.388,2.495,3.648,2.165,0.779,2.779,0.075,2.945,254.209,3909.000,0.030,1.185
0.821,743.445,3306.844,761.888,427.698,1643.412,2.452,3.633,2.155,0.768,2.807,0.076,2.923,254.360,3909.000,0.030,1.185
0.841,738.485,3284.782,776.718,424.844,1629.787,2.409,3.617,2.145,0.756,2.836,0.077,2.902,254.512,3909.000,0.030,1.185
0.861,733.506,3262.635,791.443,421.980,1616.500,2.366,3.602,2.135,0.746,2.864,0.079,2.881,254.602,3909.000,0.030,1.185
