Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2600.0	66.462	0.015046	4.5266	5.2677	21.262	40.288	77.563	2782.9	-0.0016358	9.5911e-05	0.14295	liquid
250.07	2600.0	66.449	0.015049	4.5316	5.2729	21.282	40.286	77.572	2781.7	-0.0016322	9.5844e-05	0.14288	liquid
250.13	2600.0	66.435	0.015052	4.5367	5.2781	21.303	40.285	77.580	2780.5	-0.0016286	9.5776e-05	0.14282	liquid
250.20	2600.0	66.422	0.015055	4.5417	5.2832	21.324	40.284	77.589	2779.3	-0.0016250	9.5709e-05	0.14275	liquid
250.27	2600.0	66.409	0.015058	4.5467	5.2884	21.344	40.283	77.597	2778.2	-0.0016214	9.5642e-05	0.14268	liquid
250.33	2600.0	66.395	0.015061	4.5517	5.2936	21.365	40.282	77.606	2777.0	-0.0016177	9.5575e-05	0.14262	liquid
250.40	2600.0	66.382	0.015064	4.5568	5.2988	21.386	40.281	77.614	2775.8	-0.0016141	9.5508e-05	0.14255	liquid
250.47	2600.0	66.369	0.015067	4.5618	5.3039	21.406	40.280	77.623	2774.7	-0.0016105	9.5441e-05	0.14248	liquid
250.53	2600.0	66.355	0.015070	4.5668	5.3091	21.427	40.279	77.631	2773.5	-0.0016069	9.5374e-05	0.14242	liquid
250.60	2600.0	66.342	0.015073	4.5718	5.3143	21.448	40.277	77.640	2772.3	-0.0016032	9.5307e-05	0.14235	liquid
250.67	2600.0	66.328	0.015076	4.5769	5.3195	21.468	40.276	77.648	2771.1	-0.0015996	9.5240e-05	0.14228	liquid
250.73	2600.0	66.315	0.015080	4.5819	5.3246	21.489	40.275	77.657	2770.0	-0.0015959	9.5174e-05	0.14222	liquid
250.80	2600.0	66.302	0.015083	4.5869	5.3298	21.510	40.274	77.666	2768.8	-0.0015923	9.5107e-05	0.14215	liquid
250.87	2600.0	66.288	0.015086	4.5919	5.3350	21.530	40.273	77.674	2767.6	-0.0015886	9.5040e-05	0.14208	liquid
250.93	2600.0	66.275	0.015089	4.5970	5.3402	21.551	40.272	77.683	2766.5	-0.0015850	9.4974e-05	0.14202	liquid
251.00	2600.0	66.262	0.015092	4.6020	5.3453	21.572	40.271	77.691	2765.3	-0.0015813	9.4907e-05	0.14195	liquid
251.07	2600.0	66.248	0.015095	4.6070	5.3505	21.592	40.270	77.700	2764.1	-0.0015776	9.4841e-05	0.14188	liquid
251.13	2600.0	66.235	0.015098	4.6121	5.3557	21.613	40.269	77.709	2762.9	-0.0015740	9.4775e-05	0.14182	liquid
251.20	2600.0	66.221	0.015101	4.6171	5.3609	21.633	40.267	77.717	2761.8	-0.0015703	9.4708e-05	0.14175	liquid
251.27	2600.0	66.208	0.015104	4.6221	5.3661	21.654	40.266	77.726	2760.6	-0.0015666	9.4642e-05	0.14168	liquid
251.33	2600.0	66.194	0.015107	4.6272	5.3712	21.675	40.265	77.735	2759.4	-0.0015629	9.4576e-05	0.14162	liquid
251.40	2600.0	66.181	0.015110	4.6322	5.3764	21.695	40.264	77.743	2758.3	-0.0015592	9.4510e-05	0.14155	liquid
251.47	2600.0	66.168	0.015113	4.6372	5.3816	21.716	40.263	77.752	2757.1	-0.0015555	9.4444e-05	0.14148	liquid
251.53	2600.0	66.154	0.015116	4.6422	5.3868	21.737	40.262	77.761	2755.9	-0.0015518	9.4378e-05	0.14142	liquid
251.60	2600.0	66.141	0.015119	4.6473	5.3920	21.757	40.261	77.770	2754.7	-0.0015481	9.4312e-05	0.14135	liquid
251.67	2600.0	66.127	0.015122	4.6523	5.3972	21.778	40.260	77.778	2753.6	-0.0015444	9.4246e-05	0.14129	liquid
251.73	2600.0	66.114	0.015125	4.6573	5.4024	21.798	40.259	77.787	2752.4	-0.0015407	9.4181e-05	0.14122	liquid
251.80	2600.0	66.100	0.015128	4.6624	5.4075	21.819	40.258	77.796	2751.2	-0.0015369	9.4115e-05	0.14115	liquid
251.87	2600.0	66.087	0.015132	4.6674	5.4127	21.840	40.256	77.805	2750.1	-0.0015332	9.4049e-05	0.14109	liquid
251.93	2600.0	66.074	0.015135	4.6725	5.4179	21.860	40.255	77.814	2748.9	-0.0015295	9.3984e-05	0.14102	liquid
252.00	2600.0	66.060	0.015138	4.6775	5.4231	21.881	40.254	77.822	2747.7	-0.0015257	9.3918e-05	0.14095	liquid
252.07	2600.0	66.047	0.015141	4.6825	5.4283	21.901	40.253	77.831	2746.5	-0.0015220	9.3853e-05	0.14089	liquid
252.13	2600.0	66.033	0.015144	4.6876	5.4335	21.922	40.252	77.840	2745.4	-0.0015182	9.3787e-05	0.14082	liquid
252.20	2600.0	66.020	0.015147	4.6926	5.4387	21.943	40.251	77.849	2744.2	-0.0015145	9.3722e-05	0.14075	liquid
252.27	2600.0	66.006	0.015150	4.6976	5.4439	21.963	40.250	77.858	2743.0	-0.0015107	9.3657e-05	0.14069	liquid
252.33	2600.0	65.993	0.015153	4.7027	5.4490	21.984	40.249	77.867	2741.9	-0.0015069	9.3592e-05	0.14062	liquid
252.40	2600.0	65.979	0.015156	4.7077	5.4542	22.004	40.248	77.875	2740.7	-0.0015032	9.3526e-05	0.14056	liquid
252.47	2600.0	65.966	0.015159	4.7128	5.4594	22.025	40.247	77.884	2739.5	-0.0014994	9.3461e-05	0.14049	liquid
252.53	2600.0	65.952	0.015162	4.7178	5.4646	22.045	40.246	77.893	2738.4	-0.0014956	9.3396e-05	0.14042	liquid
252.60	2600.0	65.939	0.015166	4.7228	5.4698	22.066	40.245	77.902	2737.2	-0.0014918	9.3331e-05	0.14036	liquid
